EXXENO(TM) Configuration Polling Utility
Version=, 1.0
Conffile=, Interrogator.SuperHeat_LiveValues.conf
Controller Name=, Rack A
IP Address=, 10.80.100.19,

CellInstance,CellType,InstanceName,
0,33,.RO.01.02.04,
1,33,.RO.01.02.05,
2,33,01.1 G1-C1 +10,
3,1,01.1 PM G1-C1,
4,33,01.2 G1-C1 +10,
5,1,01.2 PM G1-C2,
6,33,01.3 G1-C3 VR,
7,1,01.3 PM G1-C3,
8,33,01.4 G3-C1,
9,1,01.4 PM G2-C1,
10,33,01.5 G3-C2,
11,1,01.5 PM G2-C2,
12,33,01.6 G3-C3 VR,
13,1,01.6 PM G3-C1,
14,1,01.7 PM G3-C2,
15,33,01.7 SPLIT VLV,
16,33,01.8 HR WF,
17,1,01.8 PM G3-C3,
18,33,02.1 CU VLV,
19,2,02.1 PRF G1-C1,
20,33,02.2 PMP 1 VFD,
21,2,02.2 PRF G1-C2,
22,33,02.3 P2 VFD,
23,2,02.3 PRF G1-C3,
24,33,02.6 HX1 PMPDN,
25,2,02.6 PRF G3-C1,
26,33,02.7 HX1&2 LLS,
27,2,02.7 PRF G3-C2,
28,2,02.8 PRF G3-C3,
29,33,03.1 HX3 PMPDN,
30,2,03.1 PHASEFAIL,
31,33,03.2 HX3 LLS,
32,2,03.2 VFD FAULT,
33,33,03.3 HX4 PMPDN,
34,1,03.3 PM RACK,
35,33,03.4 HX4 LLS,
36,1,03.4 P3 AMP,
37,1,03.5 P4 AMP,
38,33,03.6 RACK ALM,
39,33,03.7 LEAK AL,
40,2,03.7 OIL FAIL,
41,1,03.8 POSO1ROC,
42,2,04.1 DOSO1RIC,
43,33,04.1 OIL PUMP,
44,33,04.2 ODV,
45,1,04.2 PSF01RIC,
46,33,04.3 744 XOVER,
47,1,04.3 TSF01RIC,
48,1,04.4 PSF02RIC,
49,1,04.5 TSF02RIC,
50,1,04.6 LPV01RIC,
51,1,04.7 PLD01ROC,
52,1,04.8 PPV01RIC,
53,33,05.1 MC-05 REF,
54,33,05.2 MC-05 DEF,
55,2,05.2 SYS -20,
56,33,05.3 G-L-036/0,
57,2,05.3 SYS 5-8,
58,33,05.4 G-L-015,
59,33,05.5 UC-06 REF,
60,33,05.6 UC-06 DEF,
61,33,05.7 G-L-017,
62,33,05.8 G-L-014,
63,1,06.07 DUF04LIC,
64,1,06.08 P3&4 SPD,
65,33,06.1 AG-2,
66,2,06.1 P1 MODE,
67,33,06.2 AG-3,
68,2,06.2 P2 MODE,
69,2,06.3 PUMP1 RUN,
70,33,06.3 WI FZR HT,
71,2,06.4 PUMP2 RUN,
72,33,06.4 WI CLR HT,
73,33,06.5 UF1/2 DEF,
74,33,06.6 UF1/2FAN,
75,33,06.7 UF3/4 DEF,
76,33,06.8 UF3/4 FAN,
77,33,07-1 LC01 DEF,
78,33,07-2 LC02 DEF,
79,33,07-3 LC-03 DEF,
80,33,07-4 LC04 DEF,
81,1,07.02 DP01CIC,
82,1,07.4 TUFOITOC,
83,1,07.7 TUF03LOC,
84,1,07.8 TUF03AOC,
85,33,08-3 UF3/4 REF,
86,33,08-4 LC1/4 LIQ,
87,1,08.1 TUF04LOC,
88,1,08.2 TUF04AOC,
89,1,08.3 TWI01AOC,
90,1,08.4 TUC05COC,
91,1,08.5 TUC05AOC,
92,1,08.6 TWI02AOC,
93,1,08.7 TUC06GIC,
94,1,08.8 TUC06GOC,
95,1,09.1 TUC06AOC,
96,1,09.2 TUC07GIC,
97,1,09.3 TUC07GOC,
98,1,09.4 TUC07AOC,
99,1,09.5 TUC08GIC,
100,1,09.6 TUC08GOC,
101,1,09.7 TUC08AOC,
102,1,09.8 TUC09GIC,
103,32,1.1 G1-C3 VFD,
104,32,1.3 G3-C3 VFD,
105,32,1.4 COND FANS,
106,33,10.1 RTU HEAT,
107,1,10.1 TCD01AIC,
108,1,10.2 ROOM TEMP,
109,33,10.2 RTU FAN,
110,1,10.3 ROOM RH,
111,33,10.3 RTU AC,
112,33,10.4 BOOST FAN,
113,1,10.4 OFFIC TMP,
114,33,10.5 EVACFAN 1,
115,2,10.5 EVFAN OVR,
116,33,10.6 EVACFAN 2,
117,1,10.7 PHX03ROC,
118,1,11.01 TPV01RIC,
119,1,11.02 T0S01RIC,
120,1,11.03 THX01ROC,
121,1,11.04 THX02ROC,
122,1,11.05 THX02RIC,
123,1,11.06 PHX05ROC,
124,1,11.07 PHX02ROC,
125,1,11.08 THX03RIC,
126,1,11.09 THX04ROC,
127,1,11.10 TPR05RIC,
128,1,11.11 TPR05ROC,
129,1,11.12 PP05RIC,
130,1,11.13 PP05R0C,
131,2,11.14 HX1 SW,
132,2,11.15 HX3 SW,
133,2,11.16 HX4 SW,
134,1,12.01 FP01COC,
135,1,12.02 POSO2CIC,
136,2,12.03 PDI +20,
137,1,12.04 T0S02CIC,
138,1,12.05 LPV02CIC,
139,1,12.06 PPV02CIC,
140,1,12.07 THX01COC,
141,1,12.08 TV02CIC,
142,1,12.09 TP01CIC,
143,1,12.10 TLD02COC,
144,1,12.11 +20 LIQP,
145,1,12.12 FP03GOC,
146,1,12.13 PPV04G1P,
147,1,12.14 THX03GIC,
148,1,12.15 THX03GOC,
149,1,12.16 THX05G0C,
150,1,13.01 FP02LOC,
151,1,13.02 TPV03LIC,
152,1,13.03 LPV03LIC,
153,1,13.04 PPV03LIC,
154,1,13.05 THX04LOC,
155,1,13.06 TP02LIC,
156,1,13.07 DP02LIC,
157,1,13.08 PLD03LOC,
158,1,13.09 TLD03LOC,
159,1,13.10 TLD01ROC,
160,1,13.11 TCD01ROC,
161,1,13.12 THX02CIC,
162,1,13.13 PUF01CIC,
163,1,13.14 PLC01CIC,
164,1,13.15 PHX02C0C,
165,1,13.16 THX02COC,
166,1,14.01 TUC09GOC,
167,1,14.02 TUC09AOC,
168,1,14.03 TUF02CIC,
169,1,14.04 TLC01LIC,
170,1,14.05 TUC01LOC,
171,1,14.06 TLC01COC,
172,1,14.07 TLC01AOC,
173,1,14.08 TLC02LIC,
174,1,14.09 TUC02LOC,
175,1,14.10 TLC02COC,
176,1,14.11 TLC02AOC,
177,1,14.12 TLC03LIC,
178,1,14.13 TLC03LOC,
179,1,14.14 TLC03COC,
